split,GP,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
All Splits,13,40.4,10.8-23.6,45.6,3.8-9.3,41.3,7.2-8.1,88.6,0.3,4.6,4.9,7.7,0.8,1.4,2.5,2.6,32.5
Home,7,40.3,10.0-23.1,43.2,3.7-9.7,38.2,7.9-8.7,90.2,0.4,4.4,4.9,8.6,0.7,1.1,2.3,2.3,31.6
Road,6,40.5,11.7-24.2,48.3,4.0-8.8,45.3,6.3-7.3,86.4,0.2,4.8,5,6.7,0.8,1.7,2.8,3,33.7
vs. Division,5,40,9.4-20.0,47,4.2-8.6,48.8,5.8-6.4,90.6,0.4,4.6,5,8.6,1,1.4,3.2,1.6,28.8
vs. Conference,12,40.3,10.6-23.3,45.4,3.8-9.2,41.8,7.0-7.9,88.4,0.3,4.8,5.1,7.8,0.8,1.4,2.7,2.5,32
3+ Days Rest,1,41,13.0-24.0,54.2,7.0-9.0,77.8,7.0-8.0,87.5,0,2,2,6,1,2,5,1,40
October,5,43.2,10.8-23.4,46.2,4.4-9.4,46.8,9.2-10.6,86.8,0.4,4.2,4.6,9.4,1,1.2,2.8,2.6,35.2
November,8,38.8,10.8-23.8,45.3,3.5-9.3,37.8,5.9-6.5,90.4,0.3,4.9,5.1,6.6,0.6,1.5,2.4,2.6,30.9
Pre All-Star,13,40.4,10.8-23.6,45.6,3.8-9.3,41.3,7.2-8.1,88.6,0.3,4.6,4.9,7.7,0.8,1.4,2.5,2.6,32.5
Wins,8,41,10.6-23.5,45.2,4.0-9.3,43.2,8.1-9.1,89,0.3,3.9,4.1,7.8,0.6,1,2.8,1.8,33.4
Losses,5,39.4,11.0-23.8,46.2,3.6-9.4,38.3,5.6-6.4,87.5,0.4,5.8,6.2,7.6,1,2,2.2,4,31.2
As Starter,13,40.4,10.8-23.6,45.6,3.8-9.3,41.3,7.2-8.1,88.6,0.3,4.6,4.9,7.7,0.8,1.4,2.5,2.6,32.5
Monday,2,41,14.0-29.5,47.5,4.0-11.0,36.4,9.0-10.0,90,0,3.5,3.5,7,0,1,1,2.5,41
Tuesday,3,40,10.0-22.7,44.1,4.0-8.3,48,9.0-9.7,93.1,0,4.3,4.3,8,1.3,1,2.7,2.7,33
Wednesday,2,39,11.5-22.0,52.3,4.5-7.0,64.3,6.0-8.0,75,0.5,4,4.5,7.5,0.5,1.5,3.5,3,33.5
Friday,2,41.5,10.5-23.5,44.7,3.0-10.0,30,4.5-5.0,90,0.5,7,7.5,8.5,1,3,2,4,28.5
Saturday,2,42,9.5-22.0,43.2,3.5-9.5,36.8,7.0-8.5,82.4,1,4,5,8,1.5,0.5,3,1.5,29.5
Sunday,2,38.5,9.5-22.5,42.2,4.0-10.5,38.1,6.5-6.5,100,0,5,5,7,0,1.5,3,2,29.5
vs BKN,1,39,9.0-19.0,47.4,4.0-9.0,44.4,4.0-4.0,100,0,6,6,7,0,1,3,1,26
vs BOS,3,39.7,8.7-19.0,45.6,4.7-8.0,58.3,7.0-7.7,91.3,0.3,4.7,5,9.7,1,1.7,3.3,2,29
vs CHA,1,42,7.0-20.0,35,4.0-9.0,44.4,10.0-12.0,83.3,1,5,6,9,1,0,3,2,28
vs CHI,1,39,14.0-26.0,53.8,6.0-10.0,60,5.0-5.0,100,0,5,5,5,3,1,2,4,39
vs CLE,1,36,10.0-20.0,50,2.0-5.0,40,5.0-8.0,62.5,1,6,7,9,0,1,2,5,27
vs DET,2,39,11.5-28.5,40.4,3.0-11.5,26.1,6.0-6.0,100,0,5.5,5.5,5,0,3,2.5,3,32
vs LAC,1,41,13.0-27.0,48.1,4.0-11.0,36.4,9.0-10.0,90,0,3,3,6,0,1,1,4,39
vs ORL,1,42,15.0-32.0,46.9,4.0-11.0,36.4,9.0-10.0,90,0,4,4,8,0,1,1,1,43
vs TOR,1,43,12.0-24.0,50,3.0-10.0,30,4.0-5.0,80,1,3,4,7,2,1,3,1,31
vs WAS,1,47,11.0-25.0,44,3.0-9.0,33.3,14.0-16.0,87.5,0,3,3,10,1,1,3,4,39